,Pclass,Sex,Age,Fare,Cabin,Prefix,Q,S,Family
0,3,0,22.0,7.25,0,0,0,1,2
1,1,1,38.0,71.2833,1,2,0,0,2
2,3,1,26.0,7.925,0,1,0,1,1
3,1,1,35.0,53.1,1,2,0,1,2
4,3,0,35.0,8.05,0,0,0,1,1
5,3,0,25.14061971830986,8.4583,0,0,1,0,1
6,1,0,54.0,51.8625,1,0,0,1,1
7,3,0,2.0,21.075,0,0,0,1,5
8,3,1,27.0,11.1333,0,2,0,1,3
9,2,1,14.0,30.0708,0,2,0,0,2
10,3,1,4.0,16.7,1,1,0,1,3
11,1,1,58.0,26.55,1,1,0,1,1
12,3,0,20.0,8.05,0,0,0,1,1
13,3,0,39.0,31.275,0,0,0,1,7
14,3,1,14.0,7.8542,0,1,0,1,1
15,2,1,55.0,16.0,0,2,0,1,1
16,3,0,2.0,29.125,0,0,1,0,6
17,2,0,29.87763005780347,13.0,0,0,0,1,1
18,3,1,31.0,18.0,0,2,0,1,2
19,3,1,25.14061971830986,7.225,0,2,0,0,1
20,2,0,35.0,26.0,0,0,0,1,1
21,2,0,34.0,13.0,1,0,0,1,1
22,3,1,15.0,8.0292,0,1,1,0,1
23,1,0,28.0,35.5,1,0,0,1,1
24,3,1,8.0,21.075,0,1,0,1,5
25,3,1,38.0,31.3875,0,2,0,1,7
26,3,0,25.14061971830986,7.225,0,0,0,0,1
27,1,0,19.0,263.0,1,0,0,1,6
28,3,1,25.14061971830986,7.8792,0,1,1,0,1
29,3,0,25.14061971830986,7.8958,0,0,0,1,1
30,1,0,40.0,27.7208,0,3,0,0,1
31,1,1,38.233440860215055,146.5208,1,2,0,0,2
32,3,1,25.14061971830986,7.75,0,1,1,0,1
33,2,0,66.0,10.5,0,0,0,1,1
34,1,0,28.0,82.1708,0,0,0,0,2
35,1,0,42.0,52.0,0,0,0,1,2
36,3,0,25.14061971830986,7.2292,0,0,0,0,1
37,3,0,21.0,8.05,0,0,0,1,1
38,3,1,18.0,18.0,0,1,0,1,3
39,3,1,14.0,11.2417,0,1,0,0,2
40,3,1,40.0,9.475,0,2,0,1,2
41,2,1,27.0,21.0,0,2,0,1,2
42,3,0,25.14061971830986,7.8958,0,0,0,0,1
43,2,1,3.0,41.5792,0,1,0,0,4
44,3,1,19.0,7.8792,0,1,1,0,1
45,3,0,25.14061971830986,8.05,0,0,0,1,1
46,3,0,25.14061971830986,15.5,0,0,1,0,2
47,3,1,25.14061971830986,7.75,0,1,1,0,1
48,3,0,25.14061971830986,21.6792,0,0,0,0,3
49,3,1,18.0,17.8,0,2,0,1,2
50,3,0,7.0,39.6875,0,0,0,1,6
51,3,0,21.0,7.8,0,0,0,1,1
52,1,1,49.0,76.7292,1,2,0,0,2
53,2,1,29.0,26.0,0,2,0,1,2
54,1,0,65.0,61.9792,1,0,0,0,2
55,1,0,38.233440860215055,35.5,1,0,0,1,1
56,2,1,21.0,10.5,0,1,0,1,1
57,3,0,28.5,7.2292,0,0,0,0,1
58,2,1,5.0,27.75,0,1,0,1,4
59,3,0,11.0,46.9,0,0,0,1,8
60,3,0,22.0,7.2292,0,0,0,0,1
61,1,1,38.0,80.0,1,1,0,0,1
62,1,0,45.0,83.475,1,0,0,1,2
63,3,0,4.0,27.9,0,0,0,1,6
64,1,0,38.233440860215055,27.7208,0,0,0,0,1
65,3,0,25.14061971830986,15.2458,0,0,0,0,3
66,2,1,29.0,10.5,1,2,0,1,1
67,3,0,19.0,8.1583,0,0,0,1,1
68,3,1,17.0,7.925,0,1,0,1,7
69,3,0,26.0,8.6625,0,0,0,1,3
70,2,0,32.0,10.5,0,0,0,1,1
71,3,1,16.0,46.9,0,1,0,1,8
72,2,0,21.0,73.5,0,0,0,1,1
73,3,0,26.0,14.4542,0,0,0,0,2
74,3,0,32.0,56.4958,0,0,0,1,1
75,3,0,25.0,7.65,1,0,0,1,1
76,3,0,25.14061971830986,7.8958,0,0,0,1,1
77,3,0,25.14061971830986,8.05,0,0,0,1,1
78,2,0,0.83,29.0,0,0,0,1,3
79,3,1,30.0,12.475,0,1,0,1,1
80,3,0,22.0,9.0,0,0,0,1,1
81,3,0,29.0,9.5,0,0,0,1,1
82,3,1,25.14061971830986,7.7875,0,1,1,0,1
83,1,0,28.0,47.1,0,0,0,1,1
84,2,1,17.0,10.5,0,1,0,1,1
85,3,1,33.0,15.85,0,2,0,1,4
86,3,0,16.0,34.375,0,0,0,1,5
87,3,0,25.14061971830986,8.05,0,0,0,1,1
88,1,1,23.0,263.0,1,1,0,1,6
89,3,0,24.0,8.05,0,0,0,1,1
90,3,0,29.0,8.05,0,0,0,1,1
91,3,0,20.0,7.8542,0,0,0,1,1
92,1,0,46.0,61.175,1,0,0,1,2
93,3,0,26.0,20.575,0,0,0,1,4
94,3,0,59.0,7.25,0,0,0,1,1
95,3,0,25.14061971830986,8.05,0,0,0,1,1
96,1,0,71.0,34.6542,1,0,0,0,1
97,1,0,23.0,63.3583,1,0,0,0,2
98,2,1,34.0,23.0,0,2,0,1,2
99,2,0,34.0,26.0,0,0,0,1,2
100,3,1,28.0,7.8958,0,1,0,1,1
101,3,0,25.14061971830986,7.8958,0,0,0,1,1
102,1,0,21.0,77.2875,1,0,0,1,2
103,3,0,33.0,8.6542,0,0,0,1,1
104,3,0,37.0,7.925,0,0,0,1,3
105,3,0,28.0,7.8958,0,0,0,1,1
106,3,1,21.0,7.65,0,1,0,1,1
107,3,0,25.14061971830986,7.775,0,0,0,1,1
108,3,0,38.0,7.8958,0,0,0,1,1
109,3,1,25.14061971830986,24.15,0,1,1,0,2
110,1,0,47.0,52.0,1,0,0,1,1
111,3,1,14.5,14.4542,0,1,0,0,2
112,3,0,22.0,8.05,0,0,0,1,1
113,3,1,20.0,9.825,0,1,0,1,2
114,3,1,17.0,14.4583,0,1,0,0,1
115,3,0,21.0,7.925,0,0,0,1,1
116,3,0,70.5,7.75,0,0,1,0,1
117,2,0,29.0,21.0,0,0,0,1,2
118,1,0,24.0,247.5208,1,0,0,0,2
119,3,1,2.0,31.275,0,1,0,1,7
120,2,0,21.0,73.5,0,0,0,1,3
121,3,0,25.14061971830986,8.05,0,0,0,1,1
122,2,0,32.5,30.0708,0,0,0,0,2
123,2,1,32.5,13.0,1,1,0,1,1
124,1,0,54.0,77.2875,1,0,0,1,2
125,3,0,12.0,11.2417,0,0,0,0,2
126,3,0,25.14061971830986,7.75,0,0,1,0,1
127,3,0,24.0,7.1417,0,0,0,1,1
128,3,1,25.14061971830986,22.3583,1,1,0,0,3
129,3,0,45.0,6.975,0,0,0,1,1
130,3,0,33.0,7.8958,0,0,0,0,1
131,3,0,20.0,7.05,0,0,0,1,1
132,3,1,47.0,14.5,0,2,0,1,2
133,2,1,29.0,26.0,0,2,0,1,2
134,2,0,25.0,13.0,0,0,0,1,1
135,2,0,23.0,15.0458,0,0,0,0,1
136,1,1,19.0,26.2833,1,1,0,1,3
137,1,0,37.0,53.1,1,0,0,1,2
138,3,0,16.0,9.2167,0,0,0,1,1
139,1,0,24.0,79.2,1,0,0,0,1
140,3,1,25.14061971830986,15.2458,0,2,0,0,3
141,3,1,22.0,7.75,0,1,0,1,1
142,3,1,24.0,15.85,0,2,0,1,2
143,3,0,19.0,6.75,0,0,1,0,1
144,2,0,18.0,11.5,0,0,0,1,1
145,2,0,19.0,36.75,0,0,0,1,3
146,3,0,27.0,7.7958,0,0,0,1,1
147,3,1,9.0,34.375,0,1,0,1,5
148,2,0,36.5,26.0,1,0,0,1,3
149,2,0,42.0,13.0,0,3,0,1,1
150,2,0,51.0,12.525,0,3,0,1,1
151,1,1,22.0,66.6,1,2,0,1,2
152,3,0,55.5,8.05,0,0,0,1,1
153,3,0,40.5,14.5,0,0,0,1,3
154,3,0,25.14061971830986,7.3125,0,0,0,1,1
155,1,0,51.0,61.3792,0,0,0,0,2
156,3,1,16.0,7.7333,0,1,1,0,1
157,3,0,30.0,8.05,0,0,0,1,1
158,3,0,25.14061971830986,8.6625,0,0,0,1,1
159,3,0,25.14061971830986,69.55,0,0,0,1,11
160,3,0,44.0,16.1,0,0,0,1,2
161,2,1,40.0,15.75,0,2,0,1,1
162,3,0,26.0,7.775,0,0,0,1,1
163,3,0,17.0,8.6625,0,0,0,1,1
164,3,0,1.0,39.6875,0,0,0,1,6
165,3,0,9.0,20.525,0,0,0,1,3
166,1,1,38.233440860215055,55.0,1,2,0,1,2
167,3,1,45.0,27.9,0,2,0,1,6
168,1,0,38.233440860215055,25.925,0,0,0,1,1
169,3,0,28.0,56.4958,0,0,0,1,1
170,1,0,61.0,33.5,1,0,0,1,1
171,3,0,4.0,29.125,0,0,1,0,6
172,3,1,1.0,11.1333,0,1,0,1,3
173,3,0,21.0,7.925,0,0,0,1,1
174,1,0,56.0,30.6958,1,0,0,0,1
175,3,0,18.0,7.8542,0,0,0,1,3
176,3,0,25.14061971830986,25.4667,0,0,0,1,5
177,1,1,50.0,28.7125,1,1,0,0,1
178,2,0,30.0,13.0,0,0,0,1,1
179,3,0,36.0,0.0,0,0,0,1,1
180,3,1,25.14061971830986,69.55,0,1,0,1,11
181,2,0,29.87763005780347,15.05,0,0,0,0,1
182,3,0,9.0,31.3875,0,0,0,1,7
183,2,0,1.0,39.0,1,0,0,1,4
184,3,1,4.0,22.025,0,1,0,1,3
185,1,0,38.233440860215055,50.0,1,0,0,1,1
186,3,1,25.14061971830986,15.5,0,2,1,0,2
187,1,0,45.0,26.55,0,0,0,1,1
188,3,0,40.0,15.5,0,0,1,0,3
189,3,0,36.0,7.8958,0,0,0,1,1
190,2,1,32.0,13.0,0,2,0,1,1
191,2,0,19.0,13.0,0,0,0,1,1
192,3,1,19.0,7.8542,0,1,0,1,2
193,2,0,3.0,26.0,1,0,0,1,3
194,1,1,44.0,27.7208,1,2,0,0,1
195,1,1,58.0,146.5208,1,1,0,0,1
196,3,0,25.14061971830986,7.75,0,0,1,0,1
197,3,0,42.0,8.4042,0,0,0,1,2
198,3,1,25.14061971830986,7.75,0,1,1,0,1
199,2,1,24.0,13.0,0,1,0,1,1
200,3,0,28.0,9.5,0,0,0,1,1
201,3,0,25.14061971830986,69.55,0,0,0,1,11
202,3,0,34.0,6.4958,0,0,0,1,1
203,3,0,45.5,7.225,0,0,0,0,1
204,3,0,18.0,8.05,0,0,0,1,1
205,3,1,2.0,10.4625,1,1,0,1,2
206,3,0,32.0,15.85,0,0,0,1,2
207,3,0,26.0,18.7875,0,0,0,0,1
208,3,1,16.0,7.75,0,1,1,0,1
209,1,0,40.0,31.0,1,0,0,0,1
210,3,0,24.0,7.05,0,0,0,1,1
211,2,1,35.0,21.0,0,1,0,1,1
212,3,0,22.0,7.25,0,0,0,1,1
213,2,0,30.0,13.0,0,0,0,1,1
214,3,0,25.14061971830986,7.75,0,0,1,0,2
215,1,1,31.0,113.275,1,1,0,0,2
216,3,1,27.0,7.925,0,1,0,1,1
217,2,0,42.0,27.0,0,0,0,1,2
218,1,1,32.0,76.2917,1,1,0,0,1
219,2,0,30.0,10.5,0,0,0,1,1
220,3,0,16.0,8.05,0,0,0,1,1
221,2,0,27.0,13.0,0,0,0,1,1
222,3,0,51.0,8.05,0,0,0,1,1
223,3,0,25.14061971830986,7.8958,0,0,0,1,1
224,1,0,38.0,90.0,1,0,0,1,2
225,3,0,22.0,9.35,0,0,0,1,1
226,2,0,19.0,10.5,0,0,0,1,1
227,3,0,20.5,7.25,0,0,0,1,1
228,2,0,18.0,13.0,0,0,0,1,1
229,3,1,25.14061971830986,25.4667,0,1,0,1,5
230,1,1,35.0,83.475,1,2,0,1,2
231,3,0,29.0,7.775,0,0,0,1,1
232,2,0,59.0,13.5,0,0,0,1,1
233,3,1,5.0,31.3875,0,1,0,1,7
234,2,0,24.0,10.5,0,0,0,1,1
235,3,1,25.14061971830986,7.55,0,1,0,1,1
236,2,0,44.0,26.0,0,0,0,1,2
237,2,1,8.0,26.25,0,1,0,1,3
238,2,0,19.0,10.5,0,0,0,1,1
239,2,0,33.0,12.275,0,0,0,1,1
240,3,1,25.14061971830986,14.4542,0,1,0,0,2
241,3,1,25.14061971830986,15.5,0,1,1,0,2
242,2,0,29.0,10.5,0,0,0,1,1
243,3,0,22.0,7.125,0,0,0,1,1
244,3,0,30.0,7.225,0,0,0,0,1
245,1,0,44.0,90.0,1,3,1,0,3
246,3,1,25.0,7.775,0,1,0,1,1
247,2,1,24.0,14.5,0,2,0,1,3
248,1,0,37.0,52.5542,1,0,0,1,3
249,2,0,54.0,26.0,0,3,0,1,2
250,3,0,25.14061971830986,7.25,0,0,0,1,1
251,3,1,29.0,10.4625,1,2,0,1,3
252,1,0,62.0,26.55,1,0,0,1,1
253,3,0,30.0,16.1,0,0,0,1,2
254,3,1,41.0,20.2125,0,2,0,1,3
255,3,1,29.0,15.2458,0,2,0,0,3
256,1,1,38.233440860215055,79.2,0,2,0,0,1
257,1,1,30.0,86.5,1,1,0,1,1
258,1,1,35.0,512.3292,0,1,0,0,1
259,2,1,50.0,26.0,0,2,0,1,2
260,3,0,25.14061971830986,7.75,0,0,1,0,1
261,3,0,3.0,31.3875,0,0,0,1,7
262,1,0,52.0,79.65,1,0,0,1,3
263,1,0,40.0,0.0,1,0,0,1,1
264,3,1,25.14061971830986,7.75,0,1,1,0,1
265,2,0,36.0,10.5,0,0,0,1,1
266,3,0,16.0,39.6875,0,0,0,1,6
267,3,0,25.0,7.775,0,0,0,1,2
268,1,1,58.0,153.4625,1,2,0,1,2
269,1,1,35.0,135.6333,1,1,0,1,1
270,1,0,38.233440860215055,31.0,0,0,0,1,1
271,3,0,25.0,0.0,0,0,0,1,1
272,2,1,41.0,19.5,0,2,0,1,2
273,1,0,37.0,29.7,1,0,0,0,2
274,3,1,25.14061971830986,7.75,0,1,1,0,1
275,1,1,63.0,77.9583,1,1,0,1,2
276,3,1,45.0,7.75,0,1,0,1,1
277,2,0,29.87763005780347,0.0,0,0,0,1,1
278,3,0,7.0,29.125,0,0,1,0,6
279,3,1,35.0,20.25,0,2,0,1,3
280,3,0,65.0,7.75,0,0,1,0,1
281,3,0,28.0,7.8542,0,0,0,1,1
282,3,0,16.0,9.5,0,0,0,1,1
283,3,0,19.0,8.05,0,0,0,1,1
284,1,0,38.233440860215055,26.0,1,0,0,1,1
285,3,0,33.0,8.6625,0,0,0,0,1
286,3,0,30.0,9.5,0,0,0,1,1
287,3,0,22.0,7.8958,0,0,0,1,1
288,2,0,42.0,13.0,0,0,0,1,1
289,3,1,22.0,7.75,0,1,1,0,1
290,1,1,26.0,78.85,0,1,0,1,1
291,1,1,19.0,91.0792,1,2,0,0,2
292,2,0,36.0,12.875,1,0,0,0,1
293,3,1,24.0,8.85,0,1,0,1,1
294,3,0,24.0,7.8958,0,0,0,1,1
295,1,0,38.233440860215055,27.7208,0,0,0,0,1
296,3,0,23.5,7.2292,0,0,0,0,1
297,1,1,2.0,151.55,1,1,0,1,4
298,1,0,38.233440860215055,30.5,1,0,0,1,1
299,1,1,50.0,247.5208,1,2,0,0,2
300,3,1,25.14061971830986,7.75,0,1,1,0,1
301,3,0,25.14061971830986,23.25,0,0,1,0,3
302,3,0,19.0,0.0,0,0,0,1,1
303,2,1,29.87763005780347,12.35,1,1,1,0,1
304,3,0,25.14061971830986,8.05,0,0,0,1,1
305,1,0,0.92,151.55,1,0,0,1,4
306,1,1,38.233440860215055,110.8833,0,1,0,0,1
307,1,1,17.0,108.9,1,2,0,0,2
308,2,0,30.0,24.0,0,0,0,0,2
309,1,1,30.0,56.9292,1,1,0,0,1
310,1,1,24.0,83.1583,1,1,0,0,1
311,1,1,18.0,262.375,1,1,0,0,5
312,2,1,26.0,26.0,0,2,0,1,3
313,3,0,28.0,7.8958,0,0,0,1,1
314,2,0,43.0,26.25,0,0,0,1,3
315,3,1,26.0,7.8542,0,1,0,1,1
316,2,1,24.0,26.0,0,2,0,1,2
317,2,0,54.0,14.0,0,3,0,1,1
318,1,1,31.0,164.8667,1,1,0,1,3
319,1,1,40.0,134.5,1,2,0,0,3
320,3,0,22.0,7.25,0,0,0,1,1
321,3,0,27.0,7.8958,0,0,0,1,1
322,2,1,30.0,12.35,0,1,1,0,1
323,2,1,22.0,29.0,0,2,0,1,3
324,3,0,25.14061971830986,69.55,0,0,0,1,11
325,1,1,36.0,135.6333,1,1,0,0,1
326,3,0,61.0,6.2375,0,0,0,1,1
327,2,1,36.0,13.0,1,2,0,1,1
328,3,1,31.0,20.525,0,2,0,1,3
329,1,1,16.0,57.9792,1,1,0,0,2
330,3,1,25.14061971830986,23.25,0,1,1,0,3
331,1,0,45.5,28.5,1,0,0,1,1
332,1,0,38.0,153.4625,1,0,0,1,2
333,3,0,16.0,18.0,0,0,0,1,3
334,1,1,38.233440860215055,133.65,0,2,0,1,2
335,3,0,25.14061971830986,7.8958,0,0,0,1,1
336,1,0,29.0,66.6,1,0,0,1,2
337,1,1,41.0,134.5,1,1,0,0,1
338,3,0,45.0,8.05,0,0,0,1,1
339,1,0,45.0,35.5,1,0,0,1,1
340,2,0,2.0,26.0,1,0,0,1,3
341,1,1,24.0,263.0,1,1,0,1,6
342,2,0,28.0,13.0,0,0,0,1,1
343,2,0,25.0,13.0,0,0,0,1,1
344,2,0,36.0,13.0,0,0,0,1,1
345,2,1,24.0,13.0,1,1,0,1,1
346,2,1,40.0,13.0,0,1,0,1,1
347,3,1,25.14061971830986,16.1,0,2,0,1,2
348,3,0,3.0,15.9,0,0,0,1,3
349,3,0,42.0,8.6625,0,0,0,1,1
350,3,0,23.0,9.225,0,0,0,1,1
351,1,0,38.233440860215055,35.0,1,0,0,1,1
352,3,0,15.0,7.2292,0,0,0,0,3
353,3,0,25.0,17.8,0,0,0,1,2
354,3,0,25.14061971830986,7.225,0,0,0,0,1
355,3,0,28.0,9.5,0,0,0,1,1
356,1,1,22.0,55.0,1,1,0,1,2
357,2,1,38.0,13.0,0,1,0,1,1
358,3,1,25.14061971830986,7.8792,0,1,1,0,1
359,3,1,25.14061971830986,7.8792,0,1,1,0,1
360,3,0,40.0,27.9,0,0,0,1,6
361,2,0,29.0,27.7208,0,0,0,0,2
362,3,1,45.0,14.4542,0,2,0,0,2
363,3,0,35.0,7.05,0,0,0,1,1
364,3,0,25.14061971830986,15.5,0,0,1,0,2
365,3,0,30.0,7.25,0,0,0,1,1
366,1,1,60.0,75.25,1,2,0,0,2
367,3,1,25.14061971830986,7.2292,0,2,0,0,1
368,3,1,25.14061971830986,7.75,0,1,1,0,1
369,1,1,24.0,69.3,1,2,0,0,1
370,1,0,25.0,55.4417,1,0,0,0,2
371,3,0,18.0,6.4958,0,0,0,1,2
372,3,0,19.0,8.05,0,0,0,1,1
373,1,0,22.0,135.6333,0,0,0,0,1
374,3,1,3.0,21.075,0,1,0,1,5
375,1,1,38.233440860215055,82.1708,0,2,0,0,2
376,3,1,22.0,7.25,0,1,0,1,1
377,1,0,27.0,211.5,1,0,0,0,3
378,3,0,20.0,4.0125,0,0,0,0,1
379,3,0,19.0,7.775,0,0,0,1,1
380,1,1,42.0,227.525,0,1,0,0,1
381,3,1,1.0,15.7417,0,1,0,0,3
382,3,0,32.0,7.925,0,0,0,1,1
383,1,1,35.0,52.0,0,2,0,1,2
384,3,0,25.14061971830986,7.8958,0,0,0,1,1
385,2,0,18.0,73.5,0,0,0,1,1
386,3,0,1.0,46.9,0,0,0,1,8
387,2,1,36.0,13.0,0,1,0,1,1
388,3,0,25.14061971830986,7.7292,0,0,1,0,1
389,2,1,17.0,12.0,0,1,0,0,1
390,1,0,36.0,120.0,1,0,0,1,4
391,3,0,21.0,7.7958,0,0,0,1,1
392,3,0,28.0,7.925,0,0,0,1,3
393,1,1,23.0,113.275,1,1,0,0,2
394,3,1,24.0,16.7,1,2,0,1,3
395,3,0,22.0,7.7958,0,0,0,1,1
396,3,1,31.0,7.8542,0,1,0,1,1
397,2,0,46.0,26.0,0,0,0,1,1
398,2,0,23.0,10.5,0,3,0,1,1
399,2,1,28.0,12.65,0,2,0,1,1
400,3,0,39.0,7.925,0,0,0,1,1
401,3,0,26.0,8.05,0,0,0,1,1
402,3,1,21.0,9.825,0,1,0,1,2
403,3,0,28.0,15.85,0,0,0,1,2
404,3,1,20.0,8.6625,0,1,0,1,1
405,2,0,34.0,21.0,0,0,0,1,2
406,3,0,51.0,7.75,0,0,0,1,1
407,2,0,3.0,18.75,0,0,0,1,3
408,3,0,21.0,7.775,0,0,0,1,1
409,3,1,25.14061971830986,25.4667,0,1,0,1,5
410,3,0,25.14061971830986,7.8958,0,0,0,1,1
411,3,0,25.14061971830986,6.8583,0,0,1,0,1
412,1,1,33.0,90.0,1,1,1,0,2
413,2,0,29.87763005780347,0.0,0,0,0,1,1
414,3,0,44.0,7.925,0,0,0,1,1
415,3,1,25.14061971830986,8.05,0,2,0,1,1
416,2,1,34.0,32.5,0,2,0,1,3
417,2,1,18.0,13.0,0,1,0,1,3
418,2,0,30.0,13.0,0,0,0,1,1
419,3,1,10.0,24.15,0,1,0,1,3
420,3,0,25.14061971830986,7.8958,0,0,0,0,1
421,3,0,21.0,7.7333,0,0,1,0,1
422,3,0,29.0,7.875,0,0,0,1,1
423,3,1,28.0,14.4,0,2,0,1,3
424,3,0,18.0,20.2125,0,0,0,1,3
425,3,0,25.14061971830986,7.25,0,0,0,1,1
426,2,1,28.0,26.0,0,2,0,1,2
427,2,1,19.0,26.0,0,1,0,1,1
428,3,0,25.14061971830986,7.75,0,0,1,0,1
429,3,0,32.0,8.05,1,0,0,1,1
430,1,0,28.0,26.55,1,0,0,1,1
431,3,1,25.14061971830986,16.1,0,2,0,1,2
432,2,1,42.0,26.0,0,2,0,1,2
433,3,0,17.0,7.125,0,0,0,1,1
434,1,0,50.0,55.9,1,0,0,1,2
435,1,1,14.0,120.0,1,1,0,1,4
436,3,1,21.0,34.375,0,1,0,1,5
437,2,1,24.0,18.75,0,2,0,1,6
438,1,0,64.0,263.0,1,0,0,1,6
439,2,0,31.0,10.5,0,0,0,1,1
440,2,1,45.0,26.25,0,2,0,1,3
441,3,0,20.0,9.5,0,0,0,1,1
442,3,0,25.0,7.775,0,0,0,1,2
443,2,1,28.0,13.0,0,1,0,1,1
444,3,0,25.14061971830986,8.1125,0,0,0,1,1
445,1,0,4.0,81.8583,1,0,0,1,3
446,2,1,13.0,19.5,0,1,0,1,2
